id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C1-LEX-0170,C1,Lèxic,test,Tria l’equivalent més adequat.,desenrotllar sempre,desenvolupar,desarrotllar,desarrollar,B,Desarrollar és desenvolupar/desenrotllar; desenvolupar és forma general.,Material original
C1-LEX-0171,C1,Lèxic,test,Tria l’equivalent més adequat.,enterar-se,assabentar-se,entendre’s,donar-se compte,B,Enterarse és assabentar-se.,Material original
C1-LEX-0172,C1,Lèxic,test,Tria l’equivalent més adequat.,comptar-se,adonar-se,donar-se compte,fer-se conte,B,Adonar-se és la forma genuïna.,Material original
C1-LEX-0173,C1,Lèxic,test,Tria l’equivalent més adequat.,netejar sempre,esborrar,borrar,borronar,B,Borrar és esborrar.,Material original
C1-LEX-0174,C1,Lèxic,test,Tria l’equivalent més adequat.,archiu,archivo,arxiu,fitxer sempre,C,Archivo és arxiu; fitxer en informàtica.,Material original
C1-LEX-0175,C1,Lèxic,test,Tria l’equivalent més adequat.,plaç,plaça,plazo,termini,D,Plazo és termini.,Material original
C1-LEX-0176,C1,Lèxic,test,Tria l’equivalent més adequat.,medi sempre,mitjà,mig sempre,medio,B,Medio de comunicación és mitjà.,Material original
C1-LEX-0177,C1,Lèxic,test,Tria l’equivalent més adequat.,medició,mida sempre,medida,mesura,D,Medida pot ser mesura; mida és dimensions.,Material original
C1-LEX-0178,C1,Lèxic,test,Tria l’equivalent més adequat.,anar-se’n,adreçar-se,endressar-se,dirigirse,B,Dirigirse a alguien és adreçar-se.,Material original
C1-LEX-0179,C1,Lèxic,test,Tria l’equivalent més adequat.,rellenar estàndard,rellenar,emplenar,plenar únicament,C,Rellenar un formulari és emplenar.,Material original
C1-LEX-0180,C1,Lèxic,test,Tria l’equivalent més adequat.,donar només,liberar sempre,entregar,lliurar,D,Entregar formalment és lliurar.,Material original
C1-LEX-0181,C1,Lèxic,test,Tria l’equivalent més adequat.,disfrutar,gaudir,gojar sempre,fruir únicament,B,Disfrutar és gaudir.,Material original
C1-LEX-0182,C1,Lèxic,test,Tria l’equivalent més adequat.,ajornament,emplaçament,aplazamiento,retardament,A,Aplazar és ajornar; ajornament.,Material original
C1-LEX-0183,C1,Lèxic,test,Tria l’equivalent més adequat.,correcció sempre,enmienda,menda,esmena,D,Enmienda és esmena.,Material original
C1-LEX-0184,C1,Lèxic,test,Tria l’equivalent més adequat.,gastament,gasto,costa,despesa,D,Gasto és despesa.,Material original
C1-LEX-0185,C1,Lèxic,test,Tria l’equivalent més adequat.,entrada sempre,ingrés,ingreso,ingrésse,B,Ingreso econòmic és ingrés.,Material original
C1-LEX-0186,C1,Lèxic,test,Tria l’equivalent més adequat.,recorso,recurso,ressort,recurs,D,Recurso és recurs.,Material original
C1-LEX-0187,C1,Lèxic,test,Tria l’equivalent més adequat.,alegació,alegación,al·legació,allegació,C,Al·legació porta ela geminada.,Material original
