id,nivel,tema,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta,explicacion,fuente
C1-COR-0244,C1,Correcció d’errades,texto,"Corregeix: “En quant a la matrícula, cal revisar el termini”.",,,,,"Pel que fa a la matrícula, cal revisar el termini.",Forma correcta: quant a / pel que fa a.,Material original
C1-COR-0245,C1,Correcció d’errades,texto,"Corregeix: “Degut a la pluja, s’ha suspés la prova”.",,,,,"A causa de la pluja, s’ha suspés la prova.","En registre formal, a causa de és més segur.",Material original
C1-COR-0246,C1,Correcció d’errades,texto,"Corregeix: “D’acord a les bases, cal presentar el DNI”.",,,,,"D’acord amb les bases, cal presentar el DNI.",Construcció: d’acord amb.,Material original
C1-COR-0247,C1,Correcció d’errades,texto,"Corregeix: “En relació a la sol·licitud, falta una signatura”.",,,,,"En relació amb la sol·licitud, falta una signatura.",Construcció formal: en relació amb.,Material original
C1-COR-0248,C1,Correcció d’errades,texto,Corregeix: “Hi ha que presentar la documentació”.,,,,,Cal que presentes la documentació.,Necessitat: cal que / cal + infinitiu.,Material original
C1-COR-0249,C1,Correcció d’errades,texto,Corregeix: “No sé que vols dir” quan és interrogatiu indirecte.,,,,,No sé què vols dir.,Què interrogatiu porta accent.,Material original
C1-COR-0250,C1,Correcció d’errades,texto,Corregeix: “La persona que li vaig telefonar no respon”.,,,,,La persona a qui vaig telefonar no respon.,Amb telefonar: a qui.,Material original
C1-COR-0251,C1,Correcció d’errades,texto,Corregeix: “El document el qual he llegit és clar”.,,,,,El document que he llegit és clar.,Per a relatiu especificatiu simple: que.,Material original
C1-COR-0252,C1,Correcció d’errades,texto,Corregeix: “Vaig veure a Maria i la vaig donar el llibre”.,,,,,Vaig veure Maria i li vaig donar el llibre.,Donar a algú: li.,Material original
C1-COR-0264,C1,Correcció d’errades,test,"Corregeix: “En quant a la matrícula, cal revisar el termini”.","Pel que fa a la matrícula, cal revisar el termini.","En quant a la matrícula, cal revisar el termini",La frase és correcta tal com està.,No cal cap canvi.,A,Forma correcta: quant a / pel que fa a.,Material original
C1-COR-0265,C1,Correcció d’errades,test,"Corregeix: “Degut a la pluja, s’ha suspés la prova”.","A causa de la pluja, s’ha suspés la prova.","Degut a la pluja, s’ha suspés la prova",La frase és correcta tal com està.,No cal cap canvi.,A,"En registre formal, a causa de és més segur.",Material original
C1-COR-0266,C1,Correcció d’errades,test,"Corregeix: “D’acord a les bases, cal presentar el DNI”.","D’acord amb les bases, cal presentar el DNI.","D’acord a les bases, cal presentar el DNI",La frase és correcta tal com està.,No cal cap canvi.,A,Construcció: d’acord amb.,Material original
C1-COR-0267,C1,Correcció d’errades,test,"Corregeix: “En relació a la sol·licitud, falta una signatura”.","En relació amb la sol·licitud, falta una signatura.","En relació a la sol·licitud, falta una signatura",La frase és correcta tal com està.,No cal cap canvi.,A,Construcció formal: en relació amb.,Material original
C1-COR-0268,C1,Correcció d’errades,test,Corregeix: “Hi ha que presentar la documentació”.,Hi ha que presentar la documentació,Hi ha que presentes la documentació.,Cap de les anteriors,Cal que presentes la documentació.,D,Necessitat: cal que / cal + infinitiu.,Material original
C1-COR-0269,C1,Correcció d’errades,test,Corregeix: “No sé que vols dir” quan és interrogatiu indirecte.,No sé què vols dir.,No sé que vols dir,La frase és correcta tal com està.,No cal cap canvi.,A,Què interrogatiu porta accent.,Material original
C1-COR-0270,C1,Correcció d’errades,test,Corregeix: “La persona que li vaig telefonar no respon”.,La persona a qui vaig telefonar no respon.,La persona que li vaig telefonar no respon,La frase és correcta tal com està.,No cal cap canvi.,A,Amb telefonar: a qui.,Material original
C1-COR-0271,C1,Correcció d’errades,test,Corregeix: “El document el qual he llegit és clar”.,El document que he llegit és clar.,El document el qual he llegit és clar,La frase és correcta tal com està.,No cal cap canvi.,A,Per a relatiu especificatiu simple: que.,Material original
C1-COR-0272,C1,Correcció d’errades,test,Corregeix: “Vaig veure a Maria i la vaig donar el llibre”.,Vaig veure Maria i li vaig donar el llibre.,Vaig veure a Maria i la vaig donar el llibre,La frase és correcta tal com està.,No cal cap canvi.,A,Donar a algú: li.,Material original
